timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216829.184,49.805,34.668,46.875,54.688,-18.066,0
216829.188,52.246,24.414,39.551,46.875,12.207,0
216829.192,34.668,19.043,29.785,35.645,13.672,0
216829.195,25.879,23.438,25.879,30.273,57.129,0
216829.199,38.574,34.180,25.879,41.016,48.340,0
216829.203,30.273,23.438,32.227,35.156,42.969,0
216829.207,41.504,20.020,29.297,28.320,83.008,0
216829.211,55.664,31.738,27.832,37.109,61.035,0
216829.215,42.480,36.621,29.297,37.598,41.992,0
216829.219,41.992,40.039,34.180,41.016,51.758,0
216829.223,49.316,40.039,36.621,45.898,32.227,0
216829.227,45.410,34.180,34.668,49.805,63.477,0
216829.231,45.410,25.391,36.133,45.410,87.402,0
216829.235,44.922,24.414,19.043,38.574,41.992,0
216829.238,44.922,36.621,18.555,36.133,69.336,0
216829.242,51.270,41.504,34.668,35.645,97.656,0
216829.246,44.434,30.273,39.551,27.832,85.449,0
216829.250,41.504,12.207,36.621,26.367,51.758,0
216829.254,46.875,10.254,36.621,38.574,56.152,0
216829.258,46.387,26.367,34.180,45.410,71.289,0
216829.262,27.344,33.203,39.062,34.180,79.102,0
216829.266,21.484,28.320,36.621,21.484,58.105,0
216829.270,25.391,27.832,20.020,20.508,51.270,0
216829.274,24.414,28.320,20.020,30.762,97.656,0
216829.277,30.273,28.320,25.879,41.016,99.609,0
216829.281,37.109,27.832,36.133,40.039,-10.254,0
216829.285,32.227,29.297,44.922,27.832,-40.039,0
216829.289,35.156,31.250,32.227,35.156,11.230,0
216829.293,48.340,28.809,23.926,36.133,-19.531,0
216829.297,42.480,28.809,30.762,34.180,-25.879,0
216829.301,47.852,33.203,37.598,49.316,-16.113,0
216829.305,42.480,30.273,25.391,41.992,18.066,0
216829.309,28.320,31.250,27.344,36.621,38.574,0
216829.313,38.574,36.133,39.062,42.480,39.551,0
216829.317,37.109,24.902,39.062,39.551,34.668,0
216829.320,33.203,20.996,43.945,34.668,17.090,0
216829.324,36.133,29.297,36.621,34.668,25.879,0
216829.328,34.180,21.484,30.762,38.086,35.645,0
216829.332,41.992,17.578,39.551,35.156,36.621,0
216829.336,35.156,26.367,36.133,28.320,2.930,0
216829.340,31.738,39.551,39.062,37.109,14.648,0
216829.344,35.156,46.875,32.715,45.410,62.012,0
216829.348,27.832,35.645,20.020,26.367,32.715,0
216829.352,23.438,27.832,31.250,12.695,14.160,0
216829.356,26.367,26.855,32.227,24.414,36.133,0
216829.360,32.715,23.926,29.297,32.715,18.066,0
216829.363,35.645,27.832,35.645,38.574,22.461,0
216829.367,39.551,28.320,40.527,33.691,37.109,0
216829.371,38.574,26.367,41.504,25.879,-2.441,0
216829.375,37.109,16.113,44.434,24.414,-33.203,0
216829.379,41.992,12.207,33.691,24.414,20.020,0
